song names
Mtg Forró e Desmantelo - dj sv
Não Vou Namorar - DJ Ws da Igrejinha
Not Like Us - Kendrick Lamar
Champagne Moments - Rick Ross
Mtg Quero Te Encontrar - DJ JZ
Remédio e Soda - Duzz
Tipo Hollywood - Mc Ws da leste
Baby Eu Tava na Rua da Água - TR
Ain’t No Fun (If The Homies Can’t Have None) - Snoop Dogg
That's That Shit - Snoop Dogg
Signs - Snoop Dogg
ball w/o you - 21 Savage
Vem Quebrando - Mc Danone
Aquariano Nato - MC Saci
Jovens Milionários (Let's Go 2) - MC PH
O Mundo é Nosso - Djonga
valeu a batalha - Djonga
LEAL - Djonga
SOLTO - Djonga
Around the World - Daft Punk
"Chama as amiguinha, Vem pra igrejinha - DJ Ws da Igrejinha"
Bitch Please II - Eminem
Riviera - Loods
One More Time - Daft Punk
The Music Began To Play - Mark Knight
Phantom Pt II - Soulwax Remix - Justice
Turbo Love - Light Year Remix - Bag Raiders
Time To Dance - Sebastian Remix - The Shoes
Suzuki Escudo - Guitarra - Yung Buda
Why We Thugs - Ice Cube
Lady of Neptune - Tory Lanez
Nós é Ruim e o Cabelo Ajuda - Kyan
Rebola o Bundão - Kyan
Eu Vou Cair na Noite - DJ RENAN DA BL
Baile do Bruxo - Tropa do Bruxo
60K - Major RD
Over the Rainbow - Israel Kamakawiwo'ole
Broke Boys - Drake
Pure Cocaine - Lil Baby
FE!N (feat. Playboi Carti) - Travis Scott
UOENO - Black Hippy
"U.O.E.N.O. Remix (feat. Future, Wiz Khalifa) - Rocko"
Mega Summertime - tzxn
Sarra Nela Com Fuzil Na Bandolera - DJ Wesley Gonzaga
Vou Encher de Leite e Vou Mandar Pros Alemão - Eletrofunk - Mc Th
Taca a Xereca pra Mim - MC Kaique da VP
Lelalaue Fim de Ano - GORDÃO DO PC
Sem Você Não Sou Ninguém - Remix - MC Kevin o Chris
Baby - Zemaru
Collard Greens - ScHoolboy Q
Foreplay - Jalen Santoy
CrasH - ScHoolboy Q
Circles - Post Malone
Novidade na Área - Mc Livinho
Ela Voltou de Perna Bamba - MC Guh SR
"Gol Bolinha, Gol Quadrado 2 - Mc Pedrinho"
Privilégio - MC Luan da BS
Sem Aliança no Dedo - MC Xenon
Se Você for Embora - Tz da Coronel
Vai no Chão Doidona - Mc Vittin PV
Pandora - DJ Matt D
Tropa Dos Mais Novo - DJ Cayoo
Surtada - Remix Brega Funk - Dadá Boladão
Banco - Matuê
Vamos pra Gaiola - MC Kevin o Chris
Faz um Vuk Vuk (Teto Espelhado) - MC Kevin o Chris
Novo Balanço - Veigh
Aqui Na Parma Tu Vem Pra Fuder - DJ CIRILO DE CAXIAS
Sentadinha Diferente - Dyamante DJ
"Bruna, Tu Já Parou pra Pensar - Niack"
MANO DO AK - DJ VILÃO
MALDITA PERIGOSA - DJ VILÃO
Black Lança (Catucando Gostosinho) - MC Teteu
Ameaça - Paulo Pires
Catucada Profunda - MC Igão
Espirrando lança - DJ TAK VADIÃO
Bala Love - Mc Anjim
Talarico Podpah - tzxn
212 - Chefin
Eu Rebolo Sim - Mc Branquinha
Ela me Falou Que Quer Rave - MC Levin
Toca o Trompete - Felipe Amorim
Mega Funk Forte de Lacoste - Dreysson Rodrigues
Doses & Mimosas (Vintage Culture & Zerky Remix) - Radio Edit - Vintage Culture
Cara de Tralha - Dj Vitor Lima
Magrão Avançado Dou pra Ela Balinha (Uiê) - MC MN
Coração de Gelo - WIU
O Neném Não É Neném - MC MENOR HR
Sentadona (Ai Calica) - Davi Kneip
Hoje Eu Quero Perereca no Morro do Sapo - Mc Aleff
Mete Bala Te Amo / Ama Porra Nenhuma - MC Durrony
ESSE É LADRÃO - DJ BRUNIN DA NT
Mansão Thug Stronda - Bonde da Stronda
Aqui Na Parma Tu Vem Pra Fuder - DJ CIRILO DE CAXIAS
Peleides - Drumstone
Mega do Akon - DJ Jonatas Felipe
Forte Forte de Lacoste - Pra Começar o Final de Semana - DJ Jeeh FDC
Aquecimento Senta Senta Suave - MC Kevin o Chris
Coração Amoleceu - Mc Don Juan
Tá OK - DENNIS
Papin - MC Kevin o Chris
É o Rei do Sexo - MC Saci
Novo Balanço - Remix - GORDÃO DO PC
Halls na Língua - Remix - GORDÃO DO PC
Quer Ibope - MARIAH
Nikes on My Feet - Mac Miller
10% (feat. Kali Uchis) - KAYTRANADA
Vex Oh feat. GoldLink & Ari PenSmith - KAYTRANADA
Conexões de Máfia (feat. Rich The Kid) - Matuê
Iron Man - Black Sabbath
Fim de Semana no Rio - Teto
Roll Play - PAWSA
My Own Way - A-Trak
Palm Trees - Flatbush Zombies
Kenny G - Matuê
HOLIDAY - Lil Nas X
Lemonade - Internet Money
Life Is Good (feat. Drake) - Future
M4 - Teto
Paypal - Teto
Dia Azul - Teto
Redbone - Childish Gambino
Bandoleros - Don Omar
Overdue (with Travis Scott) - Metro Boomin
É Sal - Matuê
202 - Speed - Kweller
Wet Dreamz - J. Cole
STUPID (feat. Yung Baby Tate) - Ashnikko
Take Me Where Your Heart Is - Q
Shirt - SZA
Baladinha Rural - US Agroboy
Mustang Preto - Teto
My Favorite Part - Mac Miller
Spicy (feat. Ginger) - Edit - Boris Brejcha
Gravity - Boris Brejcha
Bangarang (feat. Sirah) - Skrillex
Matéria Escura - Haikaiss
Way Up - YG Rob
Juju On That Beat - Zay Hilfigerrr & Zayion McCall
"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix - Jack Harlow"
Lost - Frank Ocean
In My Room - Frank Ocean
A Prova - Haikaiss
4 e 21 - Haikaiss
GOSHA - $NOT
ROCKSTAR (feat. Roddy Ricch) - DaBaby
4 Phones - Rich The Kid
Drip Too Hard (Lil Baby & Gunna) - Lil Baby
Lucid Dreams (feat. Lil Uzi Vert) - Remix - Juice WRLD
Broccoli (feat. Lil Yachty) - DRAM
Taking A Walk - Trippie Redd
Miss The Rage (feat. Playboi Carti) - Trippie Redd
Superhero (Heroes & Villains) [with Future & Chris Brown] - Metro Boomin
"No More (feat. Travis Scott, Kodak Black & 21 Savage) - Metro Boomin"
Dreamcatcher (feat. Swae Lee & Travis Scott) - Metro Boomin
Baby Sitter (feat. Offset) - DaBaby
Had Enough (feat. Quavo & Offset) - Don Toliver
Taste (feat. Offset) - Tyga
ZEZE (feat. Travis Scott & Offset) - Kodak Black
Ric Flair Drip (with Metro Boomin) - Offset
Straightenin - Migos
Bad and Boujee (feat. Lil Uzi Vert) - Migos
Pure Water (with Migos) - Mustard
Clout (feat. Cardi B) - Offset
pick up the phone - Young Thug
Way 2 Sexy (with Future & Young Thug) - Drake
Circle Of Bosses (feat. Quavo) - Young Thug
Disco Inferno - 50 Cent
Candy Shop - 50 Cent
Grajauex - Criolo
Splashin - Rich The Kid
New Freezer (feat. Kendrick Lamar) - Rich The Kid
Plug Walk - Rich The Kid
Peso a Peso - Eladio Carrion
Just A Lil Bit - 50 Cent
My Life - 50 Cent
Still Think I'm Nothing (feat. Jeremih) - 50 Cent
Estilo Cachorro - Racionais MC's
Quanto Vale o Show - Racionais MC's
"Homenagem aos Relíquias (feat. Menor MC, MC Vinny, MC Julio D.E R., MC Leozinho ZS, Makalo) - DJ Matt D"
That's My Way - Edi Rock
A Vida É Desafio - Racionais MC's
Diário de um Detento - Racionais MC's
Da Ponte pra Cá - Racionais MC's
"Vida Loka, Pt. 1 - Racionais MC's"
Negro Drama - Racionais MC's
"Vida Loka, Pt. 2 - Racionais MC's"
Pokebola - X1
Get Low - Lil Jon & The East Side Boyz
Hypnotize - 2014 Remaster - The Notorious B.I.G.
HUMBLE. - Kendrick Lamar
Drugs N Hella Melodies (feat. Kali Uchis) - Don Toliver
"Lemonade (feat. Gunna, Don Toliver & NAV) - Internet Money"
Tropa Do Mantem - DJ Lg do Sf
Jiggle Jiggle - Duke & Jones
Primeiro Beck - DJ DEIVÃO
Onlyfans - DJ Lg do Sf
Vento Forte - Mc Jacaré
É Só Um Lance Lero Lero - DJ Dozabri
Escolhe o Bandido - MC CH da Z.O
Sorrisin De Puto - DJ Cayoo
Namora Aí - MC Ryan SP
Luz do Luar - Mc Tato
Dispiei - Pirâmide Perdida
Itachi - Nxnja Beats
Minato - Nxnja Beats
Paradise City - Guns N' Roses
High Voltage - AC/DC
Rock or Bust - AC/DC
Rock N Roll Train - AC/DC
It's a Long Way to the Top (If You Wanna Rock 'N' Roll) - AC/DC
"Rock and Roll Ain't Noise Pollution - Live Joe Louis Arena, Detroit MI, Nov. 18, 1983 - AC/DC"
T.N.T. - AC/DC
You Shook Me All Night Long - AC/DC
Back In Black - AC/DC
Highway to Hell - AC/DC
Thunderstruck - AC/DC
Snoop D.O. Double G - Album Version (Edited) - Snoop Dogg
Sexy Bitch (feat. Akon) - David Guetta
Intrology - Snoop Dogg
Boss' Life - Snoop Dogg
Bitch Please - Snoop Dogg
Headlights - Eminem
Dirty Deeds Done Dirt Cheap - AC/DC
Master Of Puppets - Metallica
My Name Is - Eminem
Without Me - Eminem
The Real Slim Shady - Eminem
"So Fresh, So Clean - Outkast"
